Size,Mean_GFLOPS,Variance
978,6.58632,0.00286789
979,6.60155,0.00359039
980,6.56706,0.00361208
981,6.59987,0.00420569
982,6.59874,0.00307722
983,6.57883,0.00280288
984,6.55648,0.00275946
985,6.55398,0.00376746
986,6.59721,0.00316488
987,6.54923,0.00342454
988,6.58195,0.00274791
989,6.56898,0.00318152
990,6.58518,0.00318127
991,6.57673,0.00305942
992,6.61009,0.00304799
993,6.60008,0.00305535
994,6.61181,0.00349249
995,6.69046,0.00339841
996,6.64295,0.00119162
997,6.57171,0.00243789
998,6.57347,0.00265384
999,6.63349,0.00174602
1000,6.63143,0.00276081
1001,6.60175,0.0020547
1002,6.59536,0.00178578
1003,6.57844,0.00296036
1004,6.58534,0.00272283
1005,6.59257,0.00263892
1006,6.59681,0.00289259
1007,6.59042,0.00199423
1008,6.59779,0.00290735
1009,6.59712,0.00302994
1010,6.61448,0.00452686
1011,6.55201,0.00755437
1012,6.59096,0.00193413
1013,6.5917,0.00225799
1014,6.62615,0.00222788
1015,6.52045,0.00155186
1016,6.56982,0.00178279
1017,6.59242,0.00307365
1018,6.5985,0.00233375
1019,6.55537,0.00166452
1020,6.57457,0.00209163
1021,6.5975,0.00260599
1022,6.6015,0.00324076
1023,6.54121,0.0019902
1024,6.56042,0.002095
1025,6.60094,0.00189043
1038,6.57009,0.00188835
1051,6.51825,0.00150647
1064,6.55017,0.00176145
1077,6.60481,0.00161903
1090,6.48538,0.000945331
1103,6.46829,0.00277332
1116,6.58558,0.000569095
1129,6.64334,0.00145162
1142,6.49371,0.00060329
1155,6.39478,0.000719723
1168,6.56244,0.000606142
1181,6.51814,0.000815223
1194,6.20171,0.000169189
1207,6.28749,0.000454475
1220,6.23814,0.000256275
1233,6.18299,0.00321695
1246,6.05768,0.000152691
1259,6.04918,0.000215747
1272,6.06563,0.000166389
1285,5.9664,9.13201e-05
1298,5.70599,6.89723e-05
1311,5.55921,0.00630872
1324,5.7277,5.84851e-05
1337,5.55724,0.0133765
1350,5.39585,2.76448e-05
1363,5.23389,0.0380641
1376,5.38745,1.76234e-05
1389,5.21982,0.00137379
1402,4.91491,0.0532081
1415,5.07799,4.56311e-06
1428,4.73926,0.0276212
1441,4.53408,0.0329745
1454,4.71797,0.0300572
1467,4.6121,0.0489976
1480,4.74346,2.33206e-05
1493,4.5613,0.0559774
1506,4.4474,0.0570378
1519,4.14865,0.0332063
1532,4.38386,0.0265796
1545,4.11218,0.0545698
1558,4.10843,0.0457886
1571,4.06792,0.0275529
1584,4.06118,0.025655
1597,4.03493,0.021674
1610,3.83377,0.00856468
1623,3.88373,0.0432943
1636,3.85947,0.0447298
1649,4.01533,0.0650393
1662,3.86156,0.008676
1675,3.80791,0.0120576
1688,3.90481,0.0377786
1701,3.75106,0.014578
1714,3.66356,0.0509603
1727,3.66668,0.0136083
1740,4.01563,4.05628e-06
1753,3.98057,1.09927e-06
1766,3.91868,0.0165479
1779,3.57303,0.0598855
1792,3.83053,0.0651707
1805,3.57065,0.0454136
1818,3.74311,0.0279948
1831,3.50158,0.0488178
1844,3.73669,0.0698195
1857,3.5446,0.0413796
1870,3.76134,0.0369151
1883,3.52436,0.0546606
1896,3.81467,0.0471698
1909,3.58756,0.0438068
1922,3.80777,0.0311333
1935,3.88812,9.1531e-06
